Title,Media Type,Youtube Video ID,File Url,Duration,Topic,Role,Thumbnail URL
What is Generalized Anxiety Disorder,video,-XCYm3O5MrQ,,over_20_minutes,"Anxiety, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxiety0.JPG
Anticipating Shadows  Navigating the Fear of the Unknown,video,7YHt_snm08I,,over_20_minutes,"Anxiety, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxiety2.jpg
Edge of Tension  Navigating Nervous Anxieties,video,WyRHWhZUxoI,,over_20_minutes,"Anxiety, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxiety3.jpg
Juggling Concerns  Navigating a Multiple Worries,video,2rNFeHEvh_w,,over_20_minutes,"Anxiety, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxiety4.jpg
Frayed Nerves  Navigating Life's Irritating Moments,video,Zz-bKtvkeBs,,over_20_minutes,"Anxiety, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxiety5.jpg
Restless Wanderlust  Embracing the Urge to Move,video,Q6UOH67dggM,,over_20_minutes,"Anxiety, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxiety6.jpg
Tension Unwound  A Guide to Relaxation in a Stressed World,video,K6bJ44L_I3s,,over_20_minutes,"Anxiety, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxiety7.jpg
Unruly Musings  The Uncontrollable Realm of Thoughts,video,XrjFN7XkVd4,,over_20_minutes,"Anxiety, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anxiety1.jpg
Dealing With Psychological Burnout And Exhaustion,audio,sf-a8bymOo0,,5_20_minutes,"Stress, Anxiety, Depression, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SAD1.JPG
Grounding Meditation,audio,qe6NfuQc8BQ,,under_5_minutes,"Stress, Anxiety, Depression, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SAD2.JPG
Melting Away Worry ,audio,NCMoWp9Jj_4,,under_5_minutes,"Stress, Anxiety, Depression, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SAD3.JPG
Overcoming Procrastination,audio,wuvZahYc_fQ,,under_5_minutes,"Stress, Anxiety, Depression, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SAD4.JPG
Embracing Calm Amidst Work Stress,audio,7HKODqggBCg,,under_5_minutes,"Stress, Anxiety, Depression, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SAD5.JPG
Rebuilding After Emotional Exhaustion,audio,Kd8QV2zcesY,,under_5_minutes,"Stress, Anxiety, Depression, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SAD6.JPG
Nurturing Resilience in Crisis,audio,tA02qM7YkYs,,under_5_minutes,"Stress, Anxiety, Depression, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SAD7.JPG
Recentering After Disruption,audio,0cCM48pjG78,,under_5_minutes,"Stress, Anxiety, Depression, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SAD8.JPG
Shredding the Overwhelm of Constant Connectivity,audio,BblxDVRnJx8,,5_20_minutes,"Stress, Anxiety, Depression, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SAD9.JPG
Setting Boundaries Without Guilt,audio,Vxn-4Zkbgz4,,5_20_minutes,"Stress, Anxiety, Depression, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/SAD10.JPG
Breathing Techniques: 4x6 breathing,video,auRdKqS_AbU,,under_5_minutes,"Stress, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/holistic1.jpg
5-4-3-2-1 Grounding Technique,video,8NN9OC6_ZVo,,under_5_minutes,"Stress, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/holistic2.JPG
Narrative Techniques: Writing,video,drH6XfYtRNE,,under_5_minutes,"Stress, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/holistic3.JPG
Mindfulness of the Breath Practice,video,hTI_LHs6-_k,,5_20_minutes,"Stress, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/holistic4.JPG
Hand on Heart Technique,video,aKWYpldr034,,under_5_minutes,"Stress, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/holistic5.JPG
Emotional Freedom Technique Tapping Session,video,rDLCVTwhlY4,,5_20_minutes,"Stress, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/holistic6.JPG
Dropping Anchor Grounding Exercise,video,Z8YsLmFOFR4,,5_20_minutes,"Stress, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/holistic7.JPG
Diaphragmatic breathing,video,GQGGD6xRu9E,,under_5_minutes,"Stress, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/holistic8.JPG
Breathing techniques: Breathing with Eye Movements,video,7o_aY73L37w,,under_5_minutes,"Stress, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/holistic9.JPG
Understanding PTSD,video,4C-pyriIqDA,,5_20_minutes,"PTSD, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/gianninaptsd1.JPG
Symptoms of PTSD,video,DrGF06kxoFw,,5_20_minutes,"PTSD, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/gianninaptsd2.JPG
Neurobiology of Stress and Trauma,video,sCcQ_YcJ7GY,,5_20_minutes,"PTSD, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/gianninaptsd3.JPG
Mindfulness and Trauma,video,14QA8DGLTc0,,under_5_minutes,"PTSD, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/gianninaptsd4.JPG
Importance of Social Support Network,video,N_OVuyWCntI,,under_5_minutes,"PTSD, How to guides","Content Moderators, Customer Service, Others",https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/gianninaptsd5.JPG
