Title,Media Type,Youtube Video ID,File Url,Duration,Topic,Role,Thumbnail URL
Dancing out the Rage: Anger Release with Ecstatic Dance,video,LizoMAZIEME,,over_20_minutes,How to guides,Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/dance1.JPG
Dancing the Tension Away: Stress-Relieving Ecstatic Movement,video,6bwI8k_QOFk,,over_20_minutes,How to guides,Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/dance2.JPG
Introduction to Ecstatic Dance,video,xMMauvIJR4I,,over_20_minutes,How to guides,Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/dance3.JPG
Dance of Desires: Rediscover Sensuality through Ecstatic Expression,video,uE1XMoQcCA0,,over_20_minutes,How to guides,Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/dance4.JPG
Blissful Rhythms: Finding Serenity through Ecstatic Dance,video,jD8vQO1kOAU,,over_20_minutes,How to guides,Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/dance5.JPG
Overcoming PTSD Outside of Therapy and Coaching,video,MXbD2ZyXGTs,,5_20_minutes,PTSD/Trauma,Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/Caroline1.JPG
Overcoming Stress with Functional Medicine Health Coaching,video,7J94B5eGw5g,,over_20_minutes,PTSD/Trauma,Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/Caroline2.JPG
What is a Functional Medicine,video,iNJZbRsvkzA,,5_20_minutes,PTSD/Trauma,Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/Caroline3.JPG
Overcoming PTSD with Functional Medicine Health Coaching,video,e6p8R9l1nKQ,,over_20_minutes,PTSD/Trauma,Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/Caroline4.JPG
How Trauma Can Affect the Endocrine System,video,KNUQTi-FEkk,,over_20_minutes,PTSD/Trauma,Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/Caroline5.JPG
Navigating Anger,video,kKl1V-T8V-E,,under_5_minutes,"Anger, How to guides",Others,https://raw.githubusercontent.com/rebuildingthoughts/thumbnails/refs/heads/main/anger1.JPG
